file,syllable,visime,phoneme
Ba_Ba.mp4,Ba_Ba,Ba,Ba
Ba_Da.mp4,Ba_Da,Ba,Da
Ba_Ga.mp4,Ba_Ga,Ba,Ga
Be_Be.mp4,Be_Be,Be,Be
Be_De.mp4,Be_De,Be,De
Be_Ge.mp4,Be_Ge,Be,Ge
Bi_Bi.mp4,Bi_Bi,Bi,Bi
Bi_Di.mp4,Bi_Di,Bi,Di
Bi_Gi.mp4,Bi_Gi,Bi,Gi
Bo_Bo.mp4,Bo_Bo,Bo,Bo
Bo_Do.mp4,Bo_Do,Bo,Do
Bo_Go.mp4,Bo_Go,Bo,Go
Bu_Bu.mp4,Bu_Bu,Bu,Bu
Bu_Du.mp4,Bu_Du,Bu,Du
Bu_Gu.mp4,Bu_Gu,Bu,Gu
By_By.mp4,By_By,By,By
By_Dy.mp4,By_Dy,By,Dy
By_Gy.mp4,By_Gy,By,Gy
Da_Ba.mp4,Da_Ba,Da,Ba
Da_Da.mp4,Da_Da,Da,Da
Da_Ga.mp4,Da_Ga,Da,Ga
De_Be.mp4,De_Be,De,Be
De_De.mp4,De_De,De,De
De_Ge.mp4,De_Ge,De,Ge
Di_Bi.mp4,Di_Bi,Di,Bi
Di_Di.mp4,Di_Di,Di,Di
Di_Gi.mp4,Di_Gi,Di,Gi
Do_Bo.mp4,Do_Bo,Do,Bo
Do_Do.mp4,Do_Do,Do,Do
Do_Go.mp4,Do_Go,Do,Go
Du_Bu.mp4,Du_Bu,Du,Bu
Du_Du.mp4,Du_Du,Du,Du
Du_Gu.mp4,Du_Gu,Du,Gu
Dy_By.mp4,Dy_By,Dy,By
Dy_Dy.mp4,Dy_Dy,Dy,Dy
Dy_Gy.mp4,Dy_Gy,Dy,Gy
Ga_Ba.mp4,Ga_Ba,Ga,Ba
Ga_Da.mp4,Ga_Da,Ga,Da
Ga_Ga.mp4,Ga_Ga,Ga,Ga
Ge_Be.mp4,Ge_Be,Ge,Be
Ge_De.mp4,Ge_De,Ge,De
Ge_Ge.mp4,Ge_Ge,Ge,Ge
Gi_Bi.mp4,Gi_Bi,Gi,Bi
Gi_Di.mp4,Gi_Di,Gi,Di
Gi_Gi.mp4,Gi_Gi,Gi,Gi
Go_Bo.mp4,Go_Bo,Go,Bo
Go_Do.mp4,Go_Do,Go,Do
Go_Go.mp4,Go_Go,Go,Go
Gu_Bu.mp4,Gu_Bu,Gu,Bu
Gu_Du.mp4,Gu_Du,Gu,Du
Gu_Gu.mp4,Gu_Gu,Gu,Gu
Gy_By.mp4,Gy_By,Gy,By
Gy_Dy.mp4,Gy_Dy,Gy,Dy
Gy_Gy.mp4,Gy_Gy,Gy,Gy
